,Mean,25th,50th,75th
158,154.93602829472084,70.0,109.0,185.0
159,154.44964643348678,70.0,109.0,183.0
160,153.97843109339408,70.0,108.0,182.0
161,154.0994281103913,70.0,108.0,182.0
162,154.39204006075565,70.0,109.0,184.0
163,158.49143033731903,71.0,110.0,190.0
164,158.7488945942091,71.0,110.0,190.0
165,154.20299556125235,70.0,108.0,183.0
166,153.6692134298256,70.0,108.0,180.0
167,153.15897496737455,70.0,107.0,180.0
168,153.2078686346163,70.0,107.0,180.0
169,153.51946079362065,70.0,107.0,180.0
170,157.905802096456,71.0,110.0,189.0
171,158.1646740034703,71.0,110.0,189.0
172,153.35368401063425,70.0,107.0,180.0
173,153.27446561172925,70.0,107.0,180.0
174,153.31644999051053,70.0,107.0,180.0
175,153.35218618775355,70.0,107.0,180.0
176,153.68559698127535,70.0,108.0,181.0
177,159.58935153258983,73.0,114.0,192.0
178,159.81599410267995,73.0,114.0,192.0
179,155.43213539688568,72.0,110.0,185.0
180,155.09395304718996,73.0,110.0,185.0
181,154.61658092506104,73.0,110.0,184.0
182,154.7302321170306,73.0,110.0,185.0
183,154.80948429164198,73.0,110.0,185.0
184,160.11062546024658,75.0,116.0,194.0
185,160.13070125427595,75.0,116.0,195.0
186,154.65821104288662,73.0,110.0,185.0
187,154.44922143483515,73.0,110.0,184.0
188,154.42971582963997,73.0,110.0,184.0
189,154.55616912357206,73.0,110.0,184.0
190,154.64615238727419,73.0,110.0,185.0
191,159.96653683560538,75.0,116.0,194.0
192,160.09696725010093,75.0,116.0,194.0
193,154.73798122510905,73.0,110.0,185.0
194,154.41565551237085,73.0,110.0,184.0
195,154.45264954024077,73.0,110.0,184.0
196,154.4344693558326,73.0,110.0,184.0
197,154.66297648397497,73.0,110.0,185.0
198,159.9666318339429,75.0,116.0,194.0
199,160.23499097558658,75.0,116.0,195.0
200,154.8122125823733,73.0,110.0,185.0
201,154.59949759461574,73.0,110.0,185.0
202,154.6110623978008,73.0,110.0,185.0
203,154.81066028345262,73.0,110.0,185.0
204,154.97340286831812,73.0,110.0,185.0
205,160.29345554711247,75.0,117.0,194.0
206,160.34212838720404,75.0,117.0,195.0
207,154.76395704430695,73.0,110.0,185.0
208,154.58517798739157,73.0,110.0,185.0
209,153.88989456225565,73.0,110.0,180.0
210,153.94803810065397,73.0,110.0,181.0
211,154.11653591828028,73.0,110.0,182.0
212,159.39601586057887,75.0,116.0,190.0
213,159.49649768491037,75.0,116.0,190.0
214,154.06585620171572,73.0,110.0,182.0
